Inference for Stan model: anon_model_41af6b195d0a37a4a461f78cd03c2699.
4 chains, each with iter=6000; warmup=1000; thin=5; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

                       mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
domestic_infect[51]   16.27    0.14   8.37   2.77   9.73  15.69  21.86   34.2   3495    1.0
domestic_infect[52]   18.72    0.14   9.01    3.0  11.86  18.43  24.82  37.38   3985    1.0
domestic_infect[53]    20.7    0.16   9.36   4.07  13.94  20.39  26.94   39.8   3472    1.0
domestic_infect[54]   22.83    0.15   9.79   5.05  15.81  22.71  29.66  42.66   4091    1.0
domestic_infect[55]   23.55    0.17   9.99   5.01  16.42  23.29  30.57  43.52   3532    1.0
domestic_infect[56]   25.27    0.18  10.56   5.83  17.82  25.11  32.34  46.28   3545    1.0
domestic_infect[57]   30.71    0.17  10.82   9.65  23.49  30.65  37.97  51.54   3831    1.0
domestic_infect[58]   38.67    0.18  10.93   17.2  31.38  38.72  45.93   59.9   3620    1.0
domestic_infect[59]   42.59    0.17  11.03  21.61  35.16  42.48  49.98  64.14   3986    1.0
domestic_infect[60]   38.41    0.18  11.38  16.26   30.8  38.37  46.08   61.3   3921    1.0
domestic_infect[61]   30.57    0.19  11.29   8.78  22.85  30.28  38.32  53.07   3682    1.0
domestic_infect[62]    27.1    0.17  10.71   7.54   19.2  26.93  34.23  49.06   3758    1.0
domestic_infect[63]   29.02    0.18  10.87   8.13  21.41  28.91   36.3  50.67   3856    1.0
domestic_infect[64]   31.21    0.18   11.2  10.16  23.29  30.95  38.75  53.38   3843    1.0
domestic_infect[65]   32.84    0.19  11.25  11.16  25.17  32.88  40.16  55.96   3477    1.0
domestic_infect[66]   35.46    0.19  11.31  13.46  27.67  35.41  42.91  58.19   3569    1.0
domestic_infect[67]   35.75    0.19  11.42  14.03  27.81  35.62  43.44  59.44   3714    1.0
domestic_infect[68]   35.28    0.19  11.39  12.81  27.75  35.16   43.0  57.96   3550    1.0
domestic_infect[69]   37.26    0.19  11.72  14.28  29.21  37.52   45.0  60.33   3818    1.0
domestic_infect[70]   38.98     0.2  11.65  16.82  30.95  38.88  46.84  62.11   3408    1.0
domestic_infect[71]   39.55     0.2  11.81  15.99  31.89  39.76  47.39  63.15   3362    1.0
domestic_infect[72]   37.94    0.19  11.59  15.39  30.22  37.87  45.93  60.87   3730    1.0
domestic_infect[73]    36.7    0.18  11.43  14.05  28.81  36.85  44.39  58.71   3954    1.0
domestic_infect[74]   36.76     0.2  11.51  13.66  29.21  36.79  44.33  58.88   3212    1.0
domestic_infect[75]    36.7     0.2  11.75  14.24   28.5  36.79  44.71  60.02   3586    1.0
domestic_infect[76]   35.28    0.18   11.5  13.65   27.2  35.27  43.25  58.09   4195    1.0
domestic_infect[77]   32.93    0.19  11.49  10.56  25.52   32.9  40.57  55.78   3649    1.0
domestic_infect[78]   31.76     0.2  11.53  10.27  23.47  31.71  39.67  54.68   3257    1.0
domestic_infect[79]   36.79     0.2  11.92  13.87  28.67  36.89  44.77  60.51   3721    1.0
domestic_infect[80]   53.57     0.2  12.45   28.9  45.04  53.76   62.0  78.06   4011    1.0
domestic_infect[81]   80.83    0.21  13.03  54.33  72.01  81.09  89.73 106.09   3836    1.0
domestic_infect[82]  110.03    0.22   13.2  84.46 101.06 110.17 118.81 135.68   3647    1.0
domestic_infect[83]  135.76    0.21  13.42 109.16 126.87 135.85 144.86 161.91   3982    1.0
domestic_infect[84]   159.5    0.25  14.36  129.7 150.58 159.96 168.85 187.48   3383    1.0
domestic_infect[85]  187.09    0.24  14.77 158.05 177.13 187.12  197.3 215.28   3932    1.0
domestic_infect[86]  223.75    0.24  14.49 195.66 213.89 223.68  233.2 252.42   3710    1.0
domestic_infect[87]  266.36    0.25  15.58 235.38 256.06 266.23 277.06 296.59   3941    1.0
domestic_infect[88]  310.48    0.25  15.78 279.45 299.64 310.31 320.99 341.86   3868    1.0
domestic_infect[89]  360.58    0.25  15.92 329.32 349.92 360.61 371.35 391.97   4187    1.0
domestic_infect[90]  417.39    0.26  16.06 386.17  406.5 417.21 428.25 448.13   3676    1.0
domestic_infect[91]  473.14    0.26  16.39 441.09 462.12 473.37 484.35 504.69   3982    1.0
domestic_infect[92]  520.86    0.26  16.42 488.75 509.84 520.82 532.03 553.49   4003    1.0
domestic_infect[93]   559.1    0.26  16.72 526.83 548.11 559.22 569.96 592.68   4036    1.0
domestic_infect[94]   586.7    0.27  16.75 554.43 575.21  586.4 598.43 619.34   3743    1.0
domestic_infect[95]  599.63    0.28  17.23 565.85 588.24 599.45 611.32 634.23   3789    1.0
domestic_infect[96]  596.74    0.26  16.93 564.02 585.19 596.68 608.07 630.48   4100    1.0
domestic_infect[97]  583.57    0.27  16.56 551.78 572.58 583.63 594.62 616.16   3847    1.0
domestic_infect[98]   562.9    0.28  16.73 529.99 551.56 562.85  574.0 595.96   3698    1.0
domestic_infect[99]  539.17    0.28   17.1 505.19 528.02 539.33 550.65 573.08   3852    1.0
domestic_infect[100] 514.08    0.27  16.83 480.39 503.07 513.95 525.44 547.62   3850    1.0
domestic_infect[101] 490.34    0.26  16.56 457.59 479.22 490.41 501.36 522.73   3963    1.0
domestic_infect[102] 466.57    0.27  17.05 433.36 454.71 466.62 478.17 498.95   3934    1.0
domestic_infect[103] 441.88    0.27  16.75 409.65 430.45 441.96 453.03  475.2   3978    1.0
domestic_infect[104] 419.23    0.27  16.54  387.3 407.87 419.28 430.69 452.65   3755    1.0
domestic_infect[105] 398.42    0.27  16.39 366.59 387.28 398.28 409.61  430.2   3692    1.0
domestic_infect[106]  377.1    0.26   16.2 345.24 366.23 377.16 387.83 409.34   4011    1.0
domestic_infect[107] 353.94    0.26  16.19 322.13 343.07  354.4  364.8 385.34   3961    1.0
domestic_infect[108] 330.12    0.26  16.28 297.55 319.45 330.01 341.38 361.77   4022    1.0
domestic_infect[109] 304.16    0.25  16.09 272.31 293.51 303.82 315.11 335.43   4174    1.0
domestic_infect[110]  276.4    0.24  15.49 246.01 265.98 276.32 287.07 306.21   4114    1.0
domestic_infect[111] 249.57    0.25  15.65 218.81 238.98 249.68 260.11 280.11   3972    1.0
domestic_infect[112] 227.52    0.25  15.62 196.47 217.23 227.47 237.98 258.27   3926    1.0
domestic_infect[113] 208.69    0.24  15.31 178.46 198.61 208.85 218.95 237.69   4016    1.0
domestic_infect[114] 191.96    0.25  15.12 162.04  181.7 192.06 202.07 221.53   3752    1.0
domestic_infect[115]  176.0    0.24  15.04 146.12 166.05 175.99 186.18 205.72   3983    1.0
domestic_infect[116] 158.69    0.24   14.8 129.45 148.84 158.68 168.67 188.75   3864    1.0
domestic_infect[117] 141.86    0.24  14.75 113.13  132.1 141.72 151.65 170.74   3709    1.0
domestic_infect[118] 129.78    0.24  14.85 100.78 119.53 129.85 139.62 158.93   3914    1.0
domestic_infect[119] 121.22    0.24  14.63  92.15 111.42 121.34 131.03 149.86   3778    1.0
domestic_infect[120] 112.54    0.22  14.16  85.24 103.06 112.62 121.95 140.05   4049    1.0
domestic_infect[121] 101.57    0.22   14.0  74.04  92.26 101.55 110.82  129.3   3924    1.0
domestic_infect[122]  88.45    0.23  13.81  61.52  79.13  88.64  97.75  116.2   3739    1.0
domestic_infect[123]  72.58    0.22  13.33  46.15  63.56  72.59  81.52  98.14   3814    1.0
domestic_infect[124]  55.51    0.21  12.68  31.09  47.01  55.06  64.15  80.87   3628    1.0
domestic_infect[125]  39.79    0.19  11.81  16.93  31.96  39.69  47.61  62.88   4014    1.0
domestic_infect[126]  23.91    0.17  10.55   5.31  16.06  23.14  31.11  45.52   3836    1.0
domestic_infect[127]  12.66    0.12   7.35   2.18   7.04  11.51  17.15  29.95   3882    1.0
domestic_infect[128]   8.32    0.08   5.02   1.27   4.61   7.29  11.06  20.56   3869    1.0
domestic_infect[129]    6.8    0.07   3.99   1.09   3.93   6.08   8.93  16.64   3746    1.0
domestic_infect[130]   6.08    0.06   3.54   0.97   3.51   5.45   8.06  14.44   3924    1.0
domestic_infect[131]   5.94    0.06   3.46   1.01    3.4   5.36   7.86  14.27   3861    1.0
domestic_infect[132]   6.08    0.06   3.47   0.95    3.5   5.56   8.08  14.19   3953    1.0
domestic_infect[133]   6.49    0.06   3.64   1.02    3.8   5.99   8.52  14.89   3669    1.0
domestic_infect[134]   7.37    0.07   4.08    1.2   4.37    6.8   9.74  16.87   3607    1.0
domestic_infect[135]   9.41    0.08   4.97   1.81   5.75   8.68  12.27  21.05   3652    1.0
